Uniprot,Entrez_id
Q9Y262,51386
Q7L2H7,10480
O00303,8665
O15372,8667
B5ME19,728689
Q13347,8668
Q14152,8661
P55884,8662
Q99613,8663
O75821,8666
Q9UBQ5,27335
P60228,3646
O15371,8664
A8K0Z3,100287171
Q9Y4E1,253725
Q01081,102724594
Q01081,7307
P26368,11338
Q9BZE1,51253
O00471,10640
O60645,11336
Q8IYI6,149371
Q9UPT5,23265
Q8TAG9,54536
Q96A65,60412
Q96KP1,55770
P68431,8350
P68431,8351
P68431,8352
P68431,8353
P68431,8354
P68431,8355
P68431,8356
P68431,8357
P68431,8358
P68431,8968
P62805,121504
P62805,554313
P62805,8294
P62805,8359
P62805,8360
P62805,8361
P62805,8362
P62805,8363
P62805,8364
P62805,8365
P62805,8366
P62805,8367
P62805,8368
P62805,8370
Q2M389,23325
Q12768,9897
Q9Y3C0,51019
Q10570,29894
Q6UN15,81608
Q9C0J8,55339
Q12996,1479
Q9P2I0,53981
O95639,10898
Q92797,8189
Q9UKF6,51692
Q9H081,79003
Q9H410,79980
Q96IY1,25936
Q03188,1060
Q8WZ42,7273
P49917,3981
Q13426,7518
P49643,5558
P09884,5422
P49642,5557
Q14181,23649
Q9Y6K9,8517
O14920,3551
P01375,7124
Q13546,8737
Q12980,8131
O75140,9681
Q9NXC5,54468
Q96S15,84219
Q8WTW4,10641
P49720,5691
P17980,5702
P25786,5682
P62333,5706
P35998,5701
O00487,10213
P28062,5696
P28065,5698
P49721,5690
O14818,5688
P55036,5710
P28074,5693
P40306,5699
O00232,5718
Q8TAA3,143471
P62195,5705
Q13200,5708
Q99460,5707
P28070,5692
P28066,5686
P28072,5694
O43242,5709
P20618,5689
O00231,5717
P60900,5687
P62191,5700
Q99436,5695
P25787,5683
P51665,5713
P25788,5684
P48556,5714
P43686,5704
P25789,5685
O95478,10412
Q99848,10969
Q9H7B2,84154
Q8IY81,117246
Q9UKD2,51154
Q13823,29889
Q9BZE4,23560
O00541,23481
Q9UHA3,51187
Q14376,2582
P07902,2592
Q9Y6W5,10163
Q8IZP0,10006
Q9Y2A7,10787
Q5MIZ7,57223
P60510,5531
Q96AP0,65057
Q9NUX5,25913
Q9BSI4,26277
P16471,5618
P01236,5617
P63010,163
Q96CW1,1173
P53680,1175
O00623,5193
O60683,5192
Q15528,6837
Q93074,9968
Q9BUE0,54797
Q15648,5469
Q9H204,80306
Q15185,10728
P07900,3320
O75586,10001
O60244,9282
O43513,9443
Q13503,9412
Q9BTT4,84246
P62873,2782
O14610,2793
P50150,2786
O60262,2788
P50151,2790
Q9UBI6,55970
P63218,2787
P08754,2773
P63096,2770
P59768,54331
P04899,2771
Q9UK08,94235
P63215,2785
P48643,22948
Q13371,5082
P63211,2792
P61952,2791
Q9P2W3,51764
P46783,6204
P46782,6193
P62857,6234
P39019,6223
P62841,6209
P61353,6155
Q9Y3U8,25873
P61254,6154
P46779,6158
P05388,6175
Q07020,6141
P62277,6207
P62851,6230
P60866,6224
P62888,6156
P63244,10399
P62829,9349
P18077,6165
P47914,6159
P61513,6168
P62910,6161
P62847,6229
P27635,6134
Q02878,6128
P32969,6133
P18621,6139
P62269,6222
P62750,6147
P62987,7311
P62899,6160
P62263,6208
P62241,6202
P50914,9045
P62273,6235
P49207,6164
P83731,6152
P40429,23521
P62753,6194
P62913,6135
P62906,4736
P62701,6191
P62424,6130
P46777,6125
P42677,6232
P62891,6170
P30050,6136
P62854,6231
P35268,6146
P08865,3921
P61247,6189
P08708,6218
P05386,6176
P46778,6144
P46776,6157
P39023,6122
P63220,6227
P15880,6187
P18124,6129
P62081,6201
P05387,6181
P62244,6210
